Source, Destination, Count
21, 1, 1
21, 23, 1
21, 21, 67
21, 34, 4
21, 4, 6
21, 15, 1
21, 10, 1
21, 8, 4
21, 14, 234
21, 13, 1
21, 2, 1
21, 33, 5
21, 3, 4
21, 17, 4
21, 19, 2
21, 30, 1
21, 25, 2
21, 32, 5
21, 43, 1
21, 9, 3
21, 42, 4
21, 6, 6
21, 20, 1
21, 22, 13
14, 1, 8
14, 23, 8
14, 21, 40
14, 34, 10
14, 4, 33
14, 28, 11
14, 15, 18
14, 10, 1
14, 11, 14
14, 8, 30
14, 14, 34
14, 26, 2
14, 36, 3
14, 44, 1
14, 35, 5
14, 13, 13
14, 16, 33
14, 27, 1
14, 18, 4
14, 2, 3
14, 33, 9
14, 24, 5
14, 29, 1
14, 17, 22
14, 40, 3
14, 19, 37
14, 30, 2
14, 5, 1
14, 25, 15
14, 39, 7
14, 32, 10
14, 41, 5
14, 43, 6
14, 37, 4
14, 9, 8
14, 42, 18
14, 6, 9
14, 20, 5
14, 22, 14
16, 1, 1
16, 23, 1
16, 21, 2
16, 34, 4
16, 4, 50
16, 28, 3
16, 15, 4
16, 10, 1
16, 11, 3
16, 8, 15
16, 14, 254
16, 26, 1
16, 13, 1
16, 16, 44
16, 18, 2
16, 2, 1
16, 3, 1
16, 17, 46
16, 19, 22
16, 30, 4
16, 5, 4
16, 25, 1
16, 32, 6
16, 41, 3
16, 43, 2
16, 37, 1
16, 9, 2
16, 42, 9
16, 6, 2
16, 20, 2
