Value,IPUMSNAME,ADM1_NAME,Sort
1,Bale,Boucle du Mouhoun,1
2,Mouhoun,Boucle du Mouhoun,1
3,Nayala,Boucle du Mouhoun,1
4,Boulkiemde,Centre-Ouest,6
5,Sanguie,Centre-Ouest,6
6,Ziro,Centre-Ouest,6
7,Bougouriba,Sud-Ouest,13
8,Houet,Hauts-Bassins,9
9,Tuy,Hauts-Bassins,9
10,Gnagna,Est,8
11,Gourma,Est,8
12,Komandjoari,Est,8
13,Kouritenga,Centre-Est,4
14,Kadiogo,Centre,3
15,Ganzourgou,Plateau Central,11
16,Kourweogo,Plateau Central,11
17,Oubritenga,Plateau Central,11
18,Loroum,Nord,10
19,Passore,Nord,10
20,Zondoma,Nord,10
21,Bazega,Centre-Sud,7
22,Zoundweogo,Centre-Sud,7
23,Bam,Centre-Nord,5
24,Namentenga,Centre-Nord,5
25,Sanmatenga,Centre-Nord,5
26,Kenedougou,Hauts-Bassins,9
27,Leraba,Cascades,2
28,Comoe,Cascades,2
29,Noumbiel,Sud-Ouest,13
30,Poni,Sud-Ouest,13
31,Ioba,Sud-Ouest,13
32,Sissili,Centre-Ouest,6
33,Nahouri,Centre-Sud,7
34,Boulgou,Centre-Est,4
35,Koulpelogo,Centre-Est,4
36,Kompienga,Est,8
37,Tapoa,Est,8
38,Yagha,Sahel,12
39,Seno,Sahel,12
40,Oudalan,Sahel,12
41,Soum,Sahel,12
42,Yatenga,Nord,10
43,Sourou,Boucle du Mouhoun,1
44,Kossi,Boucle du Mouhoun,1
45,Banwa,Boucle du Mouhoun,1
